subscriber_id,full_name,gender,birth_date,registration_date,tariff_plan_id,city,status
128,Elvin Garavaliyev,Male,1970-12-27,2024-07-06,150,Nakhchivan,Suspended
129,Vugar Valiyev,Male,1992-02-16,2024-12-08,100,Mingachevir,Active
130,Nigar Mehdiyev,Female,2000-07-18,2021-10-22,110,Baku,Active
131,Nigar Valiyev,Female,1960-11-25,2021-03-21,170,Sumqayit,Active
132,Kamran Mammadova,Male,1989-05-05,2025-08-13,200,Ganja,Active
133,Elvin Aliyev,Male,1983-12-05,2022-10-03,200,Baku,Churned
134,Leyla Gasimov,Female,1959-02-11,2024-03-24,90,Mingachevir,Active
135,Tural Guliyev,Male,1970-07-04,2025-04-07,220,Nakhchivan,Suspended
136,Ilkin Mammadova,Male,2005-03-06,2023-06-07,200,Yevlakh,Active
137,Leyla Mehdiyev,Female,1986-11-22,2023-03-01,90,Sumqayit,Active
138,Leyla Karimov,Female,1972-11-11,2024-05-27,60,Shirvan,Churned
139,Nargiz Mahmudov,Female,2005-04-24,2022-04-04,180,Nakhchivan,Active
140,Zaur Guliyev,Male,1995-08-29,2021-01-04,40,Sheki,Active
141,Farid Ahmadov,Male,1987-02-13,2021-12-23,110,Mingachevir,Active
142,Kamran Valiyev,Male,1983-06-27,2021-04-04,20,Ganja,Suspended
143,Farid Huseynov,Male,2005-09-11,2024-02-17,250,Sumqayit,Active
144,Gunel Ibrahimov,Female,1967-08-24,2022-11-09,10,Ganja,Active
145,Zaur Mehdiyev,Male,2002-10-13,2021-04-27,120,Yevlakh,Churned
146,Zaur Gasimov,Male,1994-07-31,2025-10-07,100,Khankendi,Active
147,Ramil Hasanov,Male,1983-08-18,2022-04-06,40,Khankendi,Churned
148,Aysel Mahmudov,Female,1992-02-24,2024-09-03,60,Sumqayit,Suspended
149,Ali Rzayev,Male,1976-03-18,2021-08-12,140,Mingachevir,Active
150,Gunel Aliyev,Female,1971-09-11,2021-02-09,20,Shirvan,Active
151,Anar Ibrahimov,Male,1974-08-24,2024-04-15,80,Mingachevir,Active
152,Anar Taghiyev,Male,1976-07-25,2024-06-09,30,Nakhchivan,Active
153,Kamran Taghiyev,Male,1976-04-21,2025-11-05,40,Nakhchivan,Active
154,Nigar Guliyev,Female,2002-08-01,2025-05-23,200,Lankaran,Active
155,Ilkin Gasimov,Male,1960-02-18,2025-05-09,130,Yevlakh,Active
156,Farid Huseynov,Male,1966-11-23,2025-12-28,170,Sheki,Active
157,Ramil Gasimov,Male,1999-09-27,2022-04-11,110,Yevlakh,Active
158,Sabir Ahmadov,Male,1960-07-08,2024-04-07,220,Lankaran,Active
159,Elvin Ahmadov,Male,1994-08-06,2024-12-04,140,Lankaran,Active
160,Samir Muradov,Male,1979-01-06,2023-09-22,180,Baku,Active
161,Nargiz Hasanov,Female,1967-06-13,2021-08-05,190,Yevlakh,Active
162,Rashad Ibrahimov,Male,1966-05-07,2022-03-19,70,Sheki,Suspended
163,Gunel Mammadova,Female,1980-07-21,2023-02-10,220,Yevlakh,Active
164,Leyla Karimov,Female,1978-03-02,2024-09-27,70,Sumqayit,Active
165,Emin Karimov,Male,1963-05-22,2022-07-29,250,Ganja,Suspended
166,Aysel Muradov,Female,1988-07-27,2021-12-21,230,Lankaran,Suspended
167,Elvin Karimov,Male,1992-10-10,2022-04-28,230,Baku,Active
168,Aysel Karimov,Female,1990-03-27,2021-06-29,230,Sheki,Suspended
169,Emin Mehdiyev,Male,1983-08-29,2021-03-30,40,Shirvan,Active
170,Rashad Abbasov,Male,1977-07-19,2021-10-07,150,Yevlakh,Churned
171,Aysel Mehdiyev,Female,1966-01-04,2025-02-09,240,Shirvan,Suspended
172,Farid Karimov,Male,1981-02-19,2021-09-15,250,Sheki,Suspended
173,Tural Guliyev,Male,1966-07-21,2025-07-26,230,Nakhchivan,Active
174,Farid Suleymanov,Male,1977-05-01,2022-12-21,30,Sumqayit,Active
175,Tural Taghiyev,Male,1992-04-21,2022-01-15,70,Ganja,Suspended
176,Aysel Suleymanov,Female,1964-03-19,2023-09-02,20,Mingachevir,Suspended
177,Elvin Muradov,Male,2004-04-05,2021-03-13,250,Yevlakh,Suspended
178,Orkhan Garavaliyev,Male,1974-06-16,2024-04-29,250,Lankaran,Suspended
179,Vugar Mehdiyev,Male,1986-03-25,2023-04-07,80,Nakhchivan,Suspended
180,Orkhan Garavaliyev,Male,1971-02-16,2024-02-12,220,Lankaran,Active
